[2022-05-04 23:04:13,848] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 23:04:13,848] - logger.py] - INFO: 用例标题：验证用户名错误请求失败
[2022-05-04 23:04:13,859] - logger.py] - INFO: 接口请求成功
[2022-05-04 23:04:13,859] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 23:04:13,860] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 23:04:13,860] - logger.py] - INFO: ----------
[2022-05-04 23:05:32,140] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 23:05:32,140] - logger.py] - INFO: 用例标题：验证登录接口请求成功
[2022-05-04 23:05:32,177] - logger.py] - INFO: 接口请求成功
[2022-05-04 23:05:32,177] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 23:05:32,177] - logger.py] - INFO: 响应体msg信息断言成功
[2022-05-04 23:05:32,178] - logger.py] - INFO: 响应体状态码断言成功，状态码为200
[2022-05-04 23:05:32,178] - logger.py] - INFO: 验证接口登录成功
[2022-05-04 23:05:32,178] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 23:05:32,179] - logger.py] - INFO: ----------
[2022-05-04 23:05:32,179] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 23:05:32,179] - logger.py] - INFO: 用例标题：验证用户名错误请求失败
[2022-05-04 23:05:32,197] - logger.py] - INFO: 接口请求成功
[2022-05-04 23:05:32,198] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 23:05:32,198] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 23:05:32,199] - logger.py] - INFO: ----------
[2022-05-04 23:06:01,858] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 23:06:01,859] - logger.py] - INFO: 用例标题：验证登录接口请求成功
[2022-05-04 23:06:01,897] - logger.py] - INFO: 接口请求成功
[2022-05-04 23:06:01,898] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 23:06:01,898] - logger.py] - INFO: 响应体msg信息断言成功
[2022-05-04 23:06:01,898] - logger.py] - INFO: 响应体状态码断言成功，状态码为200
[2022-05-04 23:06:01,899] - logger.py] - INFO: 验证接口登录成功
[2022-05-04 23:06:01,899] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 23:06:01,899] - logger.py] - INFO: ----------
[2022-05-04 23:06:01,900] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 23:06:01,900] - logger.py] - INFO: 用例标题：验证用户名错误请求失败
[2022-05-04 23:06:01,916] - logger.py] - INFO: 接口请求成功
[2022-05-04 23:06:01,917] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 23:06:01,917] - logger.py] - INFO: 响应体msg信息断言成功
[2022-05-04 23:06:01,917] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 23:06:01,918] - logger.py] - INFO: ----------
[2022-05-04 23:06:18,295] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 23:06:18,295] - logger.py] - INFO: 用例标题：验证登录接口请求成功
[2022-05-04 23:06:18,330] - logger.py] - INFO: 接口请求成功
[2022-05-04 23:06:18,331] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 23:06:18,331] - logger.py] - INFO: 响应体msg信息断言成功
[2022-05-04 23:06:18,332] - logger.py] - INFO: 响应体状态码断言成功，状态码为200
[2022-05-04 23:06:18,332] - logger.py] - INFO: 验证接口登录成功
[2022-05-04 23:06:18,332] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 23:06:18,332] - logger.py] - INFO: ----------
[2022-05-04 23:06:18,333] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 23:06:18,333] - logger.py] - INFO: 用例标题：验证用户名错误请求失败
[2022-05-04 23:06:18,345] - logger.py] - INFO: 接口请求成功
[2022-05-04 23:06:18,345] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 23:06:18,346] - logger.py] - INFO: 响应体msg信息断言成功
[2022-05-04 23:06:18,346] - logger.py] - INFO: 响应体状态码断言成功，状态码为400
[2022-05-04 23:06:18,346] - logger.py] - INFO: 验证用户名错误请求失败成功
[2022-05-04 23:06:18,347] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 23:06:18,347] - logger.py] - INFO: ----------
[2022-05-04 23:07:41,034] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 23:07:41,034] - logger.py] - INFO: 用例标题：验证登录接口请求成功
[2022-05-04 23:07:41,071] - logger.py] - INFO: 接口请求成功
[2022-05-04 23:07:41,072] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 23:07:41,072] - logger.py] - INFO: 响应体msg信息断言成功
[2022-05-04 23:07:41,072] - logger.py] - INFO: 响应体状态码断言成功，状态码为200
[2022-05-04 23:07:41,073] - logger.py] - INFO: 验证接口登录成功
[2022-05-04 23:07:41,073] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 23:07:41,073] - logger.py] - INFO: ----------
[2022-05-04 23:07:41,074] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 23:07:41,074] - logger.py] - INFO: 用例标题：验证用户名错误请求失败
[2022-05-04 23:07:41,084] - logger.py] - INFO: 接口请求成功
[2022-05-04 23:07:41,084] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 23:07:41,085] - logger.py] - INFO: 响应体msg信息断言成功
[2022-05-04 23:07:41,085] - logger.py] - INFO: 响应体状态码断言成功，状态码为400
[2022-05-04 23:07:41,085] - logger.py] - INFO: 验证用户名错误请求失败成功
[2022-05-04 23:07:41,086] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 23:07:41,086] - logger.py] - INFO: ----------
[2022-05-04 23:07:55,637] - logger.py] - INFO: 登录接口用例开始执行
